-7.00,12.22,-4.79,-8.62
-6.75,9.50,0.96,-8.62
-8.38,16.62,0.96,-0.96
-10.50,21.06,0.96,-0.96
-13.19,26.50,0.96,-0.96
-20.19,60.00,0.96,-0.96
-23.19,60.00,6.71,-0.96
-20.94,25.00,30.66,8.62
-11.75,-5.34,46.95,24.91
4.25,-46.38,48.87,32.58
25.50,-60.00,49.82,36.41
37.88,-60.00,45.03,33.54
47.44,-60.00,34.49,26.83
51.75,-60.00,13.41,14.37
47.56,-60.00,-19.16,-2.87
40.19,-25.06,-47.91,-23.95
29.37,22.34,-61.32,-44.08
20.81,22.59,-58.45,-35.45
15.38,10.03,-52.70,-30.66
11.69,-8.31,-43.12,-26.83
6.94,1.47,-32.58,-24.91
-1.19,22.09,-23.00,-22.04
-10.81,40.28,-13.41,-21.08
-21.81,60.00,-4.79,-15.33
-32.38,60.00,-4.79,-6.71
-35.63,60.00,12.46,0.96
-32.63,42.75,37.37,13.41
-22.12,-34.50,59.41,34.49
-7.50,-25.31,63.24,40.24
5.94,-42.50,60.36,40.24
23.19,-60.00,56.53,40.24
47.31,-60.00,48.87,37.37
58.50,-60.00,9.58,21.08
55.63,-60.00,-12.46,-6.71
47.69,-35.84,-50.78,-29.70
36.50,10.91,-73.78,-49.82
19.81,60.00,-74.74,-55.57
6.94,21.78,-68.03,-47.91
0.31,16.09,-60.36,-42.16
-7.94,32.53,-47.91,-35.45
-16.19,60.00,-32.58,-26.83
-22.44,60.00,4.79,-13.41
-24.87,60.00,41.75,8.54
-22.37,26.00,66.41,38.90
-10.13,-15.44,68.99,55.57
8.44,-59.06,62.28,58.45
35.00,-60.00,63.24,59.41
61.00,-60.00,53.66,47.91
64.44,-60.00,39.28,24.91
